Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms,deal_id,Exchange Ratio,Clean Target Ticker,Clean Acquirer Ticker,target_market_cap,acquirer_market_cap
M&A,2024-05-28,,2024-11-22,Marathon Oil Corp,MRO US,ConocoPhillips,COP US,22921.61,17542.61,Stock,5.22,Completed,,,Friendly,.2550 Aqr sh./Tgt sh.,28,0.255,MRO,COP,16554009959.999998,135581022000.0
M&A,2006-11-01,,2007-03-22,Caremark Rx Inc,CMX US,CVS Health Corp,CVS US,21694.79,22521.39,Stock,12.21,Completed,,,Friendly,1.6700 Aqr sh./Tgt sh.,32,1.67,CMX,CVS,20278082500.0,23706210060.0
M&A,2020-07-13,,2021-08-27,Maxim Integrated Products Inc,MXIM US,Analog Devices Inc,ADI US,19762.28,20396.06,Stock,24.48,Completed,830,,Friendly,.6300 Aqr sh./Tgt sh.,33,0.63,MXIM,ADI,18655780224.999996,43477834250.0
M&A,2008-05-21,,2008-08-11,Calpine Corp,CPN US,NRG Energy Inc,NRG US,19568.1,9766.1,Stock,,Terminated,,,Unsolicited,.5340 Aqr sh./Tgt sh.,34,0.534,CPN,NRG,9611079000.0,9504321450.000002
M&A,2017-02-01,,2017-07-03,ONEOK Partners LP,OKS US,ONEOK Inc,OKE US,17377.65,9540.36,Stock,11.54,Completed,300,,Friendly,.9850 Aqr sh./Tgt sh.,37,0.985,OKS,OKE,11399603280.000002,11696602320.0
M&A,2006-12-04,,2007-07-02,Mellon Financial Corp,MEL US,Bank of New York Mellon Corp/The,BK US,16482.94,16482.94,Stock,,Completed,,,Friendly,1.0600 Aqr sh./Tgt sh.,38,1.06,MEL,BK,17570032919.999996,29803016880.0
M&A,2021-04-29,,2021-11-01,VEREIT Inc,VER US,Realty Income Corp,O US,16394.41,10795.78,Stock,19.04,Completed,,,Friendly,.7050 Aqr sh./Tgt sh.,40,0.705,VER,O,10961531360.000002,25827594150.000004
M&A,2021-08-04,,2022-04-29,MGM Growth Properties LLC,MGP US,VICI Properties Inc,VICI US,15516.32,11309.93,Stock,20.88,Completed,709,,Friendly,1.3660 Aqr sh./Tgt sh.,42,1.366,MGP,VICI,6262750380.0,16449688350.0
M&A,2020-02-20,,2020-10-05,E*TRADE Financial Corp,ETFC US,Morgan Stanley,MS US,14507.65,12719.65,Stock,7.89,Completed,525,,Friendly,1.0432 Aqr sh./Tgt sh.,45,1.0432,ETFC,MS,11830415850.0,84846907160.0
M&A,2018-01-03,,2019-01-02,SCANA Corp,SCG US,Dominion Energy Inc,D US,14504.33,7861.33,Stock,27.57,Completed,,,Friendly,.6690 Aqr sh./Tgt sh.,46,0.669,SCG,D,6607399279.999999,49442409900.0
M&A,2008-10-20,2009-07-02,2009-07-21,NRG Energy Inc,NRG US,Exelon Corp,EXC US,14303.95,7543.95,Stock,5.97,Terminated,,,Hostile,.5450 Aqr sh./Tgt sh.,47,0.545,NRG,EXC,5809950700.0,35081808839.99999
M&A,2021-07-18,,2021-09-30,Five9 Inc,FIVN US,Zoom Communications Inc,ZM US,14266.95,14077.41,Stock,652.32,Terminated,,,Friendly,.5533 Aqr sh./Tgt sh.,48,0.5533,FIVN,ZM,12732714080.0,83688607362.75002
M&A,2015-05-13,,2015-09-28,Williams Partners LP,WPZ US,Williams Cos Inc/The,WMB US,14129.35,14129.35,Stock,27.19,Terminated,428,,Friendly,1.1150 Aqr sh./Tgt sh.,49,1.115,WPZ,WMB,33987241350.0,39867194030.0
M&A,2019-06-10,,2019-08-01,Tableau Software Inc,DATA US,Salesforce Inc,CRM US,13981.08,14766.8,Stock,,Completed,,,Friendly,1.1030 Aqr sh./Tgt sh.,51,1.103,DATA,CRM,12448469770.0,116332158202.27
M&A,2005-05-09,,2006-04-03,Cinergy Corp,CIN US,Duke Energy Corp,DUK US,13696.06,8907.0,Stock,11.15,Completed,500,,Friendly,1.5600 Aqr sh./Tgt sh.,52,1.56,CIN,DUK,8142851100.0,26841730980.0
M&A,2020-10-19,,2021-01-19,Concho Resources Inc,CXO US,ConocoPhillips,COP US,13290.68,9653.68,Stock,,Completed,450,,Friendly,1.4600 Aqr sh./Tgt sh.,54,1.46,CXO,COP,9266866770.0,34944200280.0
M&A,2008-06-23,,2008-12-08,Allied Waste Industries LLC,AW US,Republic Services Inc,RSG US,13050.88,6420.88,Stock,7.77,Completed,,,Friendly,.4500 Aqr sh./Tgt sh.,55,0.45,AW,RSG,5695366500.0,5590340140.0
M&A,2024-03-11,,2024-07-22,Equitrans Midstream Corp,ETRN US,EQT Corp,EQT US,12880.88,5524.15,Stock,12.38,Completed,176,,Friendly,.3504 Aqr sh./Tgt sh.,56,0.3504,ETRN,EQT,4939398790.0,15203540040.000002
M&A,2020-07-20,,2020-10-06,Noble Energy Inc,NBL US,Chevron Corp,CVX US,12680.6,5019.6,Stock,,Completed,,,Friendly,.1191 Aqr sh./Tgt sh.,57,0.1191,NBL,CVX,5320888800.000001,170623210810.0
M&A,2019-10-27,,2020-02-04,Liberty Property Trust,LPT US,Prologis Inc,PLD US,12340.51,9277.17,Stock,29.32,Completed,150,,Friendly,.6750 Aqr sh./Tgt sh.,61,0.675,LPT,PLD,9063495000.0,54207669810.0
M&A,2022-08-09,,2022-09-12,Unity Software Inc,U US,AppLovin Corp,APP US,12104.51,12088.16,Stock,,Withdrawn,,,Unsolicited,1.1520 Aqr sh./Tgt sh.,62,1.152,U,APP,16564361170.0,11811851940.0
M&A,2023-04-03,,2023-07-20,Life Storage Inc,LSI US,Extra Space Storage Inc,EXR US,12004.54,12004.54,Stock,18.18,Completed,,,Friendly,.8950 Aqr sh./Tgt sh.,63,0.895,LSI,EXR,11983534560.0,21620547450.0
M&A,2004-02-11,,2004-04-28,Walt Disney Co/The,DIS US,Comcast Corp,CMCSA US,11517.0,,Stock,,Withdrawn,,,Hostile,.7800 Aqr sh./Tgt sh.,65,0.78,DIS,CMCSA,57295504000.0,40807081260.0
M&A,2015-11-08,,2016-02-22,Plum Creek Timber Co Inc,PCL US,Weyerhaeuser Co,WY US,11406.0,8247.0,Stock,25.4,Completed,250,,Friendly,1.6000 Aqr sh./Tgt sh.,66,1.6,PCL,WY,8204336000.0,15062051000.0
M&A,2015-11-03,,2016-02-17,Targa Resources Partners LP,NGLS US,Targa Resources Corp,TRGP US,11378.48,6285.18,Stock,11.2,Completed,,,Friendly,.6200 Aqr sh./Tgt sh.,67,0.62,NGLS,TRGP,5515565920.0,2808884160.0
M&A,2006-05-08,,2006-11-10,Fisher Scientific International LLC,FSH US,Thermo Fisher Scientific Inc,TMO US,11352.79,9617.69,Stock,12.5,Completed,200,,Friendly,2.0000 Aqr sh./Tgt sh.,68,2.0,FSH,TMO,9522585600.0,6286882600.000001
M&A,2020-08-06,,2020-12-21,GCI Liberty Inc,GLIBA US,Liberty Broadband Corp,LBRDA US,10884.16,8143.1,Stock,84.16,Completed,340,,Friendly,.5800 Aqr sh./Tgt sh.,69,0.58,GLIBA,LBRDA,8472796500.0,3786400449.9999995
M&A,2014-08-10,,2014-11-28,Kinder Morgan Management LLC,KMR US,Kinder Morgan Inc,KMI US,10680.7,10680.7,Stock,,Completed,311,,Friendly,2.4849 Aqr sh./Tgt sh.,70,2.4849,KMR,KMI,12391050360.0,40481139510.0
M&A,2018-10-22,,2019-01-28,EnLink Midstream Partners LP,ENLK US,EnLink Midstream LLC,ENLC US,10224.07,6052.17,Stock,10.43,Completed,,,Friendly,1.1500 Aqr sh./Tgt sh.,72,1.15,ENLK,ENLC,6085510020.000001,2688013720.0
M&A,2019-05-08,,2019-07-30,Andeavor Logistics LP,ANDX US,MPLX LP,MPLX US,10178.07,,Stock,10.59,Completed,,,,1.0328 Aqr sh./Tgt sh.,73,1.0328,ANDX,MPLX,8559907859.999999,24388622890.0
M&A,2018-05-17,,2018-08-13,Williams Partners LP,WPZ US,Williams Cos Inc/The,WMB US,9991.7,9991.7,Stock,13.55,Completed,,,Friendly,1.4940 Aqr sh./Tgt sh.,78,1.494,WPZ,WMB,39478920669.99999,23007363400.000004
